Nome,Luogo,Cronologia,Antiquario,Collezionista,Galleria,Asta,Type,Schede,lat,lon
Agnew's,Londra,1851-2013,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Agnew%27s,51.5073219,-0.1276474
Albrighi,Firenze,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Albrighi,43.7698712,11.2555757
Alfieri,Modena,,1.0,,,,A,P,44.5384728,10.935960870530739
Galleria Alfonsi,Vicenza,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Galleria+Alfonsi,45.63485905,11.40635425660249
Algranti,Milano,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=algranti,45.4641943,9.1896346
Altomani & Co.,Pesaro,1977-,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Altomani,43.9098114,12.9131228
Apolloni,Roma,1926-,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/scheda/opera/64808/Lint%20Hendrik%20Frans%20Van%2C%20Paesaggio%20con%20pastore%20e%20viandante,41.8933203,12.4829321
Appleby I.,Jersey,1930s-2009,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Appleby,49.2214561,-2.1358386
Aprosio,Montecarlo,,,1.0,,,C,P,43.8511862,10.6676214
Armondi,Brescia,1985-,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=ARMONDI,45.77958045,10.4258729694612
